date,volume
2022-01-29,14325
2022-01-30,80902
2022-01-31,85266
2022-02-01,85196
2022-02-02,92291
2022-02-03,100882
2022-02-04,92285
2022-02-05,75837
2022-02-06,66046
2022-02-07,81750
2022-02-08,85987
2022-02-09,91615
2022-02-10,103735
2022-02-11,102925
2022-02-12,95920
2022-02-13,86126
2022-02-14,101372
2022-02-15,108059
2022-02-16,99554
2022-02-17,111638
2022-02-18,124722
2022-02-19,106533
2022-02-20,94786
2022-02-21,149319
2022-02-22,198568
2022-02-23,232010
2022-02-24,700144
2022-02-25,468274
2022-02-26,368481
2022-02-27,384363
2022-02-28,177120